step,time,q1,q1d,q2,q2d,wrap_dist
350,17.500,-7.792163,-4.805062,-0.004370,-0.007408,5.074852
351,17.550,-8.018359,-4.244181,-0.004629,-0.002269,4.471142
352,17.600,-8.216439,-3.686990,-0.004809,0.002206,3.879949
353,17.650,-8.387065,-3.149702,-0.004878,0.005984,3.316253
354,17.700,-8.531617,-2.645501,-0.004820,0.008946,2.792224
355,17.750,-8.652035,-2.184277,-0.004634,0.011191,2.316969
356,17.800,-8.750620,-1.771123,-0.004324,0.013027,1.895140
357,17.850,-8.829801,-1.406546,-0.003891,0.014698,1.527285
358,17.900,-8.891946,-1.087903,-0.003335,0.016309,1.211495
359,17.950,-8.939243,-0.810845,-0.002656,0.017877,0.945273
360,18.000,-8.973643,-0.570330,-0.001860,0.019385,0.727446
361,18.050,-8.996852,-0.361625,-0.000948,0.020960,0.560655
362,18.100,-9.010362,-0.180960,0.000084,0.022878,0.452781
363,18.150,-9.015560,-0.027944,0.001351,0.029158,0.411208
364,18.200,-9.013667,0.103686,0.002953,0.035404,0.425470
365,18.250,-9.005616,0.219275,0.004872,0.041002,0.474850
366,18.300,-8.991614,0.342617,0.006999,0.042891,0.553991
367,18.350,-8.971227,0.475568,0.009240,0.044600,0.658747
368,18.400,-8.943886,0.621831,0.011571,0.045458,0.787485
369,18.450,-8.908827,0.785356,0.013933,0.044673,0.940840
370,18.500,-8.865075,0.970725,0.016202,0.040398,1.121369
371,18.550,-8.811433,1.182300,0.018188,0.031776,1.332428
372,18.600,-8.746486,1.424263,0.019671,0.018611,1.577764
373,18.650,-8.668629,1.700037,0.020461,0.002318,1.860729
374,18.700,-8.576112,2.011786,0.020481,-0.013715,2.183604
375,18.750,-8.467107,2.360285,0.019840,-0.025196,2.547372
376,18.800,-8.339772,2.744912,0.018820,-0.029033,2.951775
377,18.850,-8.188969,3.298110,0.016289,-0.084980,3.523101
378,18.900,-8.009657,3.882249,0.012635,-0.070435,4.132741
379,18.950,-7.800485,4.486840,0.009739,-0.048531,4.772055
380,19.000,-7.561089,5.082667,0.007764,-0.024937,5.413643
381,19.050,-7.292850,5.629439,0.006678,-0.002007,6.019614
382,19.100,-6.999345,6.080805,0.006456,0.021360,6.546710
383,19.150,-6.686406,6.395406,0.007042,0.040667,6.957126
384,19.200,-6.361778,6.540722,0.008240,0.052859,7.222595
385,19.250,-6.034452,6.501548,0.009864,0.059473,7.116347
386,19.300,-5.713588,6.286895,0.011818,0.062249,6.792954
387,19.350,-5.407257,5.929827,0.013941,0.058093,6.348201
388,19.400,-5.121552,5.473715,0.016003,0.049583,5.821041
389,19.450,-4.860287,4.964071,0.017858,0.039407,5.253359
390,19.500,-4.625099,4.440661,0.019443,0.029548,4.682042
391,19.550,-4.415865,3.933438,0.020752,0.021090,4.134801
392,19.600,-4.231225,3.461926,0.021812,0.014405,3.629451
393,19.650,-4.069076,3.036734,0.022663,0.009443,3.175308
394,19.700,-3.926962,2.661841,0.023348,0.005963,2.775389
395,19.750,-3.802355,2.336823,0.023908,0.003684,2.428566
396,19.800,-3.692818,2.058669,0.024378,0.002341,2.131330
